,Name,Review,Stars,Sug/Com
10,SANTOSH DWIVEDI,"
अच्छी किताब है


भाषा अच्छी,,सहज,,और सरल है,,,,,अच्छी किताब है
",5.0 out of 5 stars,1
11,OMPRAKASH,"
Good Book


बहुत ही अच्छा उपन्यास है
",5.0 out of 5 stars,1
12,kishor,"
मार्मिक चित्रण


तत्कालीन शोषित समाज का बेहद मार्मिक चित्रण।
",5.0 out of 5 stars,1
13,Himanshu Sharma,"
हरेक के पढने लायक


लाजवाब
",5.0 out of 5 stars,1
14,Anil Patel,"
NATIONAL SONG From ANANDMATH


अद्भुत, असराहनीय
",5.0 out of 5 stars,1
15,Prem prakash pirta,"
बेहतरीन कृति!


शानदार लेखक की शानदार रचना!
",4.0 out of 5 stars,1
16,Ankit gupta,"
Sabhi ko padni chahiye


Bahut acchi book
",5.0 out of 5 stars,1
17,Hobbit,"
अपेक्षाकृत नही है


कल ये पुस्तक मेरे पास आई थी और आज मैंने इसे समाप्त भी कर डाली। मेरी प्रिय उपन्यास ""बाड़भट्ट की आत्म कथा"" है परंतु फिर भी मुझे आनंदमठ के उपन्यास में कोई रोचकता नही दिखी।ऐसा प्रतीत होता है कि बांग्ला भाषा से हिंदी भाषा मे अनुवाद सही नही हुआ। कही कही संस्कृतनिष्ठ हिंदी है और उसमें ही उर्दू के शब्द भी है और फिर उसमें ही आम बोल चाल के शब्द भी है जैसे ""कलमुंही, बुड्ढा, साले""। जब हम एक तरफ भाषा का उच्चतम रूप पढ़ रहे हो और दूसरी तरफ ये शब्द पढ़ने को मिले तो उपयुंक्त नही लगता है।एक review  में एक महाश्य कह रहे है कि ये मुगलिया सल्तनत के वक़्त की कहानी है तो वो कृपया उसे सुधरे क्योंकि ये मीरजाफर के समय की कथा है।एक और बात, ऐसा प्रतीत होता है कि छापने वाले ने वर्ष सही नही लीखा है क्योंकि वर्ष 1173 लिखा हुआ है जबकि ये कथा 1773 की है। और अंग्रेजो का 1173 में नमो निशान भी नही था।
",3.0 out of 5 stars,1
18,Ujjwal,"
न भूतो न भविष्यति!


आनंदमठ बंकिम जी की लेखिनी से उपजी एक कालजयी रचना है जिसके गर्भ में थी एक ऐसी मंत्र शक्ति जिसने अनगिनत क्रांतिकारियों के खून में नई ज्वाला का संचार कर दिया और जो पराधीनता के जंजीरों को तोड़ने का प्रबल हथियार बना, जी हां यह मंत्र शक्ति है बंदे मातरम!!ऐतिहासिक घटनाओं को उपन्यास के रूप में उद्घाटित करती एक अमर कृति।
",5.0 out of 5 stars,1
19,Amazon Customer,"
आनंद मठ.. राष्ट्रीय एकता की मिसाल


राष्ट्र - भक्ति का संदेश देने वाली.. जानने के लिए आनंद मठ को पढने की आवश्यकता जरूरी हो जाती है..
",5.0 out of 5 stars,1
20,PRABHU,"
बेहतरीन लेखन ,ऐतहासिक द्रष्टिकोण से


बेहतर
",5.0 out of 5 stars,1
