,Name,Review,Stars,Sug/Com
10,Arun Maurya,"
Bahut achcha phone hai


Iska camera Bada mast haiChalne mein bahut achcha haiIsase badhiya phone aur koi nahinSasta hai achcha haiPhoto gallery bahut tej hoti hai
",5.0 out of 5 stars,1
11,Amrit,"
4 कैमरा जैसा लगता है धोका है... फ्लेक्स light नही है camera quality अच्छी न है.... Not Good


4 कैमरा जैसा लगता है धोका है... फ्लेक्स light नही है camera quality अच्छी नही है.... Y2 का जैसा सब same है.... Not Good
",4.0 out of 5 stars,1
12,dharmender,"
यह फोन चल ही नहीं रहा हैंग हो रहा था और अपने आप बंद हो गया अब फोन भी नहीं हो रहा


यह फोन सबसे घटिया है इसका कोई भी ऐप नहीं चल रहा वेस्ट ऑफ मनी भाई मैं तो राय दूंगा नहीं कि कोई इस फोन को ले क्योंकि अपने आप चलते चलते बंद हो गया और अब ऑन भी नहीं हो रहा और बहुत ही स्लो चल रहा है
",1.0 out of 5 stars,0
13,Sandeep Singh,"
Sensor not work properly during a call, when mobile close the Ear.


फोन कॉल के दौरान सेंसर काम नहीं करता जिससे बहुत सारे फोन के फंक्शन चालू हो जाते हैं फिंगरप्रिंट भी सही से काम नहीं करता फोन का वजन भी बहुत ज्यादा है बैटरी बैकअप भी ठीक-ठाक ही है
",3.0 out of 5 stars,1
14,Govind jha,"
मोबाइल बैक कवर


मेरे मोबाइल बॉक्स में सबकुछ ठीक है पर मोबाइल का बैक कवर नही है। अगर मुमकिन है तो मुझे मोबाइल कवर भेजा जाए अन्यथा हम मोबाइल अगले 2 दिन के अंदर वापस करुंग।
",3.0 out of 5 stars,1
15,Parvati rao,"
Third class phone


Please guys don't buy this phone and ye phone soch samaj ke lena ye log return bhi nahi lete Or replace karne ka process bhi bekar hai... Or refund denge ye to sochna bhi mat... Worst experience
",2.0 out of 5 stars,0
16,Mahender Thakur,"
baki to Theek hai aur phone kharab ho gaya band Hai






                    The media could not be loaded.
                



 Camera, battery, fingerprint,toSahi chala tha but phone kharab ho gaya band hai care centre mein service nahin ho raha hai uski Ham bhi nahin ho raha hai display ud gayi hai
",1.0 out of 5 stars,0
17,Sushil Kulkarni,"
Majboori ka naam mahatmaG


I hate Chinese product but Majboori ka naam mahatmaG
",4.0 out of 5 stars,1
18,Bhuneshwar Sahu,"
Return


Return kiya hua hai. Kyuki camera better nhi laga yaar.
",1.0 out of 5 stars,0
19,Ravi saini,"
Don't Buy for Camera & Play Big Games


ये मोबाइल बजट के हिसाब से सही है  पर यह बिना किसी बड़े एप्लीकेशन डाउनलोड किये ये हैंग होता है बैटरी लाइफ काफी कम है 5000MH सेलेकिन बजट में इससे अच्छा फ़ोन नही मिलेगा।
",3.0 out of 5 stars,1
20,Rupesh Thakur,"
Not


Camera quality kharab
",1.0 out of 5 stars,0
21,Joyti Ramnani,"
कृपया कुछ निदान किया जाए


इसमें बात करते करते आवाज बदं हो जाती हैं लगा कि नेटवर्क  प्रॉब्लम है अब लगता है की पीस में कुछ प्रॉब्लम है बात करते-करते बंद हो जाता है स्विच ऑफ करने के बाद स्विच ऑन करते हैं तब आवाज आती है इसका का कुछ हो सकता है
",2.0 out of 5 stars,0
22,Suresh Gupta,"
Hang होता है


कैमरा अच्छा नहीं है।फ़ोन भी बहुत ज्यादा hang होता है।इतना ज्यादा पैसा और quality बहुत खराब है।
",5.0 out of 5 stars,1
23,Rahul sharma,"
20 din me hi kharab ho gaya...






                    The media could not be loaded.
                



 Very poor, 20 din me hi kharab ho gaya new phone..
",1.0 out of 5 stars,0
24,RAHUL SINGH,"
RAHUL SINGH


RAHUL SINGH
",5.0 out of 5 stars,1
25,AJIT JAIN,"
Battery backup low,  camera quality nahin hai,  HD display nahin hai


Battery backup low,  camera quality nahin hai,  HD display nahin haiRepair ke jaisa mobile chal raha hai
",1.0 out of 5 stars,0
26,BIJA RAM,"
Product Itna Achcha Nahin Hai iske liye kya karna chahie


Product Itna Achcha Nahin Hai usmein ful hang hota hai isiliye koi bhi app khola to usmein pura stick ho jata hai FIR bad Mein 10 second after your option
",1.0 out of 5 stars,0
27,Ankit Gaurav,"
Rate ke anusar acaha hai


Iss rate me ye acha hai
",5.0 out of 5 stars,1
28,Prashant Kumar Mishra,"
ओवरहाल बहुत ही खराब है थोड़ा पैसा और लगा कर के अच्छे क्वालिटी कर ले


थोड़ा पैसा ऑल डालकर किसी और मॉडल को छूने अन्यथा पछताना पड़ेगा
",1.0 out of 5 stars,0
29,Ashish kumar,"
Good phone I am happy


Iska battery backup bahut achcha hai
",5.0 out of 5 stars,1
30,PAPPOO,"
Good phone


Nice phone.price k anusar phone thik hai
",5.0 out of 5 stars,1
31,Rajat Rathi,"
I ordered redmi 9 activ but got redmi 9.


Redme 9 activ के  स्थान पर Redmi 9 प्राप्त हुआ। अमेज़न की पैकेजिंग टीम ने निराश किया।  Amazon should care which product is going to deliver.
",4.0 out of 5 stars,1
32,ADESH,"
Bekar hi hai


Not good
",5.0 out of 5 stars,1
33,NAGNARAIN PANDEY,"
मोबाइल भेजो जल्दी


जो मोबाइल मंगाया वह रेडमी 9 नहीं है ,डब्बा में औऱ कोई समान नहीं हैं  ,  मोबाईल बदलने के लिए आपके यहाँ सम्पर्क किया है मोबाईल की फोटो भेज दिया था अभी तक समस्या का समाधान नही हुआ है किर्पया जल्द समाधान करें
",1.0 out of 5 stars,0
34,Anil Kaushik,"
रेडमी नोट 9 के रिजल्ट अच्छे नहीं हैं


उत्पाद सही नहीं है मैं इससे बिल्कुल ना खुश हूं क्योंकि जब स्पीकर ऑन करते हैं तो लाउडस्पीकर पर आवाज जन-जन आती है मैं इस प्रोडक्ट को किसी को लेने की सलाह नहीं दूंगा
",1.0 out of 5 stars,0
35,Subhash kumar sriwastava,"
Thik-thak hai


Thik-thak hai
",4.0 out of 5 stars,1
36,NETRA OPTICAL,"
Nice phone lot sako to lot lo


Is Price me kafi nice phone he koi diktat nahi he or dusra mobile dekho Hi mat bhai logo kuch kami nahi he mobile me or le dalo camera price ke hisab se acha he
",5.0 out of 5 stars,1
37,Tolaram Choudhary,"
ठीक है


ठीक है
",1.0 out of 5 stars,0
38,MOHAMMAD IRSHAD ALAM,"
Sabse sashta me achcha phone hai


Sound quality and finger☝ print camera colour jabar dust laga aur good backup de raha h
",5.0 out of 5 stars,1
39,Dinesh yadav,"
El number priduct h ekdm mst


Ek number mobile h mtlb vastav me ek number h or bettry backup bhi kmal ka h amezone hi ek.nu.ber h to product to ek number hoga na yr
",5.0 out of 5 stars,1
40,Raj ramzanbhai,"
Good products


Good मोबाइल
",5.0 out of 5 stars,1
41,Yogi Rana,"
चार्जिंग में ज्यादा समय लेता है। फास्ट चार्जर होना चाहिए था


कैमरा ज्यादा अच्छा नहीं है फिर भी इसकी कीमत के हिसाब से थोड़ा सही भी है । बैटरी सही है लेकिन फास्ट चार्जिंग नही है चार्ज होने में काफी ज्यादा समय लेता है
",2.0 out of 5 stars,0
42,Ajay Sharma,"
Bekar mobile hai....


Sensor bekar hai ph ke..... Khi bhi call kro ge to mobile lock ho jaye ga... On call u can't use your mobile... Plz done purchase.....
",1.0 out of 5 stars,0
43,NARPATSINGH RAJPUROHIT,"
Avarage


Avarage
",4.0 out of 5 stars,1
44,L.R.MEGHWAL,"
Display blinking...😭


Direct sunlight me Display sahi dikhai nhi deti hOr Display blink krti rhti h....Overall good phonebattry 1 day
",3.0 out of 5 stars,1
45,Chandan Kumar Singh,"
Disple ng






                    The media could not be loaded.
                



 Redmi 9 podakt ka disple kharab ho gaya hai us me laenig ban rha hai tach sahi se kam nahi kr rha hai
",1.0 out of 5 stars,0
46,kk,"
Nice


Relame ki phone se bahut acha b
",5.0 out of 5 stars,1
47,Atul Tripathi,"
Redmi 9 phone


बेकार प्रोडक्ट है मात्र 15 दिनों में ही मदरबोर्ड और अब डिस्प्ले खराब हो गया क्योंकि घटिया फोन बेच रही है कंपनी।
",1.0 out of 5 stars,0
48,Amazon Customer,"
रेडमी 9 एक्टिव बोलकर  रेडमी  9 मोडेल फोन बेच रहे है


रेडमी 9 एक्टिव बोलकर  रेडमी  9 मोडेल फोन बेच रहे है
",3.0 out of 5 stars,1
49,Ajay sahani,"
Badhiya


Sab theek hai chal raha hai badhiya hai
",5.0 out of 5 stars,1
50,Mohit Kumar,"
Mobil hang karta gai bhai speaker ki aawaj kAm ho gyi


Mobil phone ki awaj kam ho gyi  aur Mobil hang kar raha hai
",3.0 out of 5 stars,1
51,satya prakash yadav,"
Kabhi bhi sahi pata karke le


Esme remote nahi hai hume pata na tha thoda maza na aaya
",5.0 out of 5 stars,1
52,Rehana A Nadaf,"
Good 👍


LCD screen ki wajah se thoda dull light video dikhta hai processor slow hai
",3.0 out of 5 stars,1
53,Amazon Customer,"
ishka camara memori not sport and hang aur picher ke fixel fatte hai hmari rakam hamare orignal


ishka camara memori not sport and hang aur picher ke fixel fatte hai hmari rakam hamare orignal mode bheje
",1.0 out of 5 stars,0
54,mamta bhatt,"
मुझे पसंद आया


मुझे पसंद आया
",3.0 out of 5 stars,1
55,Priya Deswal,"
Nice phone


Bahut achha aaya hai phone
",5.0 out of 5 stars,1
56,Narsingh gupta,"
Don't buy this product  high price poor quality phone bahut badi galti kara ye phone kharid ke


Phone slow and hang  camera quality bad maine kharid galti kar di aisa lag raha hai 3 sal purana phone chala raha hon
",1.0 out of 5 stars,0
57,Roshan L.,"
Ok redmi 9


. यह प्रोडक्ट बहुत ही अच्छा है बस इसका कैमरा क्वालिटी सही नही है बहुत ही घटिया कैमरा दिया है 13 मेघा पिस्टल जितना साफ फोटो नहीं आता
",5.0 out of 5 stars,1
58,Arvind,"
पुराना मोबाइल फोन एक्सचेंज


मेरा पुराना मोबाइल फोन एक्सचेंज किया गया था 1100 रु जिसका रिफंड नहीं किया गया है अतः रिफंड करने की कृपा करें
",1.0 out of 5 stars,0
59,Manoj Singal,"
Raddi bana diya apna dailer or contacts hatakar


Google Dialer and contacts dalkar raddi bana diya phone ko, not working call recorder & old phone contacts & call history backup.
",1.0 out of 5 stars,0
60,Mithun Raj Paswan,"
Very smart phone is best


रेडमी 9 फोन बहुत अच्छा है इसका लुक बहुत ही अच्छा है इतना कम पैसे में इतना अच्छा फोन 4GB रैम बहुत ही अच्छा है पैसे के मामले में देखा जाए तो बहुत अच्छा है
",5.0 out of 5 stars,1
61,Jay Dev,"
Mobile sistum is not right Play.


Battery capacity sahi nhi chal rahi hai.internet me bahot badi problem aa rahi hai.
",1.0 out of 5 stars,0
62,Sandesh,"
Bkavas


Mobile 1no bakvas Hai...... Bahot pakate ये log.... Ban kardo is app ko inke pass koi policy available nhi he.... Camera quality to eisi Maine Kabdhi Dekhi hi nhi
",1.0 out of 5 stars,0
63,animesh verma,"
Best mobile in budget


Ye ek bahut achchha budget phone hai... Bas thoda mujhe is mobile main camera se satisfy nahi hu otherwise this mobile is superb in budget
",5.0 out of 5 stars,1
64,Brahamdevchaudhari,"
Camera ki quality achi hai


Bhut acha mobile hai chargeing bhi bdhiya hai
",4.0 out of 5 stars,1
65,Ajay Naskar,"
Goood but bad


All is well. But compass sensor kam nhi karta sayad nhi hai. Agar hota to value for money hota.
",3.0 out of 5 stars,1
66,Priyanshu goswami,"
Phone bhut slow h


Ab kabhi zindagi me redmi ka phone nhi lunga bhut 2 1 month hua h liye or atakna chalu
",1.0 out of 5 stars,0
67,Amazon Customer,"
The battery was bad, the mobile turned on itself






                    The media could not be loaded.
                



 बेट्ररी खराब है अपने आप फूल गयी मोबाईल टेड़ा हो गया
",1.0 out of 5 stars,0
68,MD IFTEKHAR AHMED,"
Kuch v


Acha hai islye
",4.0 out of 5 stars,1
69,shama Parveen,"
4


mobile ka speaker awaz kar rha h or vedio m thik nhi chal rhi h iske liye kaise kya hoga btayen hume
",3.0 out of 5 stars,1
70,Ankit Awasthy,"
Phone hang karta he bhut jyada


Phone hang karta he bhut jyada..
",1.0 out of 5 stars,0
71,Mohit kumar,"
Good mobile..


Kaam pasie mai sahi phone lena ho to ye le sakte hoo...
",5.0 out of 5 stars,1
72,Shiv Saini,"
Good


Price ke hisab se sahi hai...
",3.0 out of 5 stars,1
73,Dinesh Behera,"
Wonderful


Nice mobile mobile beautiful mobileJitna price utna mein camera quality bahut achcha hai fracelet bhi achcha hai
",5.0 out of 5 stars,1
74,Manoj,"
Totally money wastege don't purchase this product


फोन का कैमरा और डिस्प्ले बहुत ही घटिया क्वालिटी का है खरीदने के बाद पछताना पड़ेगा रिटर्न पॉलिसी भी नहीं है बहुत सारे ऐप्स को भी सपोर्ट नहीं करता है
",1.0 out of 5 stars,0
75,MD,"
Made in India phone


Shandar Zabardast Jindabad
",5.0 out of 5 stars,1
76,Tinani tudu,"
Camera quality acha nahi he


Camera quality acha nahi he
",2.0 out of 5 stars,0
77,Naseeb Chowdhury,"
Good


Thik thak hei
",3.0 out of 5 stars,1
78,MUNNA ALAM,"
Bahut badhiya mobile hai price k hisaab se....


Camera quality good battery life is very good.
",4.0 out of 5 stars,1
79,RK YADAV,"
Yaad nahi


Yaad Nahi ki kab liya.
",1.0 out of 5 stars,0
80,anil kumar,"
Hot spot problem


Hot spot me kitne connect hai ye nahi show karta hai wi fi user ko block nahi kar sakte hai
",4.0 out of 5 stars,1
81,Salman,"
Bhot bura ph hai.


Pachtaoge mere trah liya to.  Bakwas front camera bhot bhot bhot bura ph. Hai
",1.0 out of 5 stars,0
82,Vikash Kumar Singh,"
बहुत ज्यादा खराब प्रोडक्ट है


बहुत ज्यादा कम चल रहा है battery to बहुत जल्दी खत्म हो जाता है
",1.0 out of 5 stars,0
83,Siyaram yadav,"
Bhaiyo ise lene se bachna iski screen kam kam karti hai


Ghatiya hai screen nahi kam karta hai isaki prosesing sistam kharab hai😔😔😔😔😔😔
",1.0 out of 5 stars,0
84,Amazon Customer,"
Most bakwas fon ever by redmi


Boht bakwas hai..hotspot ruk ruk k chalta hai..battery backup BHI Acha ni hai...screen clear Nahi hai
",2.0 out of 5 stars,0
85,Satya chahar,"
Mst hai


Mobile to sahi hai but charger c-pin nhi haiIsliye 4 star diya
",4.0 out of 5 stars,1
86,Rakesh p.,"
Batti kam chalti hai


Mobil thik hai magar battiri mobil ki jan hai jo ki service nahi deti
",4.0 out of 5 stars,1
87,Bhaskar,"
इस दिल के दर्द को क्या बयां करू, बस इतना मान लीजिए ये आग का दरिया है और डूब के जाना है।


Very poor
",1.0 out of 5 stars,0
88,Anita Bansal,"
Bekar mobile and seller koi mat lo inse mobile


Ye Mobile Bi bekar h or ye seller bi agr hum mobile return krte h to ye payment ni dete
",1.0 out of 5 stars,0
89,Rohit k.,"
Camara qwality thik nahi h


Photo shop k liye liye lekin thik nhi h
",3.0 out of 5 stars,1
90,naim ali,"
बहुत ही अच्छा है भाई मिल गया वैल्यू मनी प्रोडक्ट


रेडमी प्रोजेक्ट कम कीमत बहुत ही अच्छा मोबाइल साडे ₹8000 कीमत बीबीबी
",5.0 out of 5 stars,1
91,Khan sahzeb,"
Battery 🔋 achha nahi hai aur nahi camera phir bhi 10000 me thik hai


Battery ya phir camera utna achha nahi hai baki sab thik hai
",2.0 out of 5 stars,0
92,Atul,"
Never buy useless phone thore paise or laga kar achha le lo per ise mat lena apsos karoge


Never buy useless phone thore paise or laga kar achha le lo per ise mat lena apsos karoge
",1.0 out of 5 stars,0
93,D.K.SAHU,"
म्यूजिक प्लेयर खराब है गाना ruk रुक कर चलता है






                    The media could not be loaded.
                



 म्यूजिक प्लेयर खराब है गाना ruk रुक कर चलता है
",1.0 out of 5 stars,0
94,Ajay Singh,"
Kuchh nhi


Maine Orange 🍊 Colour Booking kiya tha Blue Colour Aaya HaiI'm not Happy
",1.0 out of 5 stars,0
95,Avishkar deshmukh,"
redmi 9 is best mobile in world


mobile ek no tha bahut achhha chalata hai battery life is best and camera quality to bahut badiya hai
",5.0 out of 5 stars,1
96,Rakesh Kumar Choudhary,"
Worth of money


Jitna tarif karo utna kam hai iss phone k liye price k according best hai ye phone.
",5.0 out of 5 stars,1
97,Keshav pal,"
Sahi he


Itne paise me sahi phone he per slow bhot chalta he
",5.0 out of 5 stars,1
98,Nitin raj,"
हैंगिंग फ़ोन


हैंग करता हैइसका ब्रेन बहुत धीरे काम कर्ताचै
",1.0 out of 5 stars,0
99,sanjay K.,"
Cemra sahi nahi hai


Clearty nahi hai
",1.0 out of 5 stars,0
100,Sanjay yadav upp,"
बढ़िया प्रोडक्ट है


फिंगरप्रिंट सेंसर सही से काम नहीं करता
",5.0 out of 5 stars,1
101,Upendar kumar,"
1 hafte mein fingerprint kharab ho gaya


1 hafte mein fingerprints kharab ho gaya
",2.0 out of 5 stars,0
